datetime,open,high,low,close,volume,quote_volume,trade_count,taker_buy_volume,taker_buy_quote_volume
2025-01-02 18:05:00,2.38940000,2.40190000,2.38760000,2.39820000,739755.00000000,1772058.52030000,4392,494310.00000000,1184134.56210000
2025-01-02 18:10:00,2.39810000,2.40020000,2.39400000,2.39720000,673670.00000000,1614597.78620000,3844,378116.00000000,906357.59550000
2025-01-02 18:15:00,2.39730000,2.40380000,2.39530000,2.40290000,520006.00000000,1248031.02410000,3989,316529.00000000,759700.31760000
2025-01-02 18:20:00,2.40290000,2.41420000,2.40290000,2.41310000,642885.00000000,1549051.90900000,4253,352213.00000000,848579.49240000
2025-01-02 18:25:00,2.41300000,2.41300000,2.40150000,2.40340000,734934.00000000,1768800.32650000,3082,254929.00000000,613045.47730000
2025-01-02 18:30:00,2.40340000,2.40480000,2.39490000,2.39770000,544297.00000000,1305581.52060000,3686,249234.00000000,597901.09740000
2025-01-02 18:35:00,2.39760000,2.40520000,2.39760000,2.40260000,338621.00000000,813319.05000000,2401,193612.00000000,464899.03750000
2025-01-02 18:40:00,2.40250000,2.40690000,2.39860000,2.40580000,336756.00000000,809569.19220000,2837,216889.00000000,521443.45870000
2025-01-02 18:45:00,2.40570000,2.40840000,2.40090000,2.40230000,783847.00000000,1886069.68200000,3542,574381.00000000,1382265.74660000
2025-01-02 18:50:00,2.40230000,2.40800000,2.40060000,2.40510000,339357.00000000,815954.20830000,2802,190962.00000000,459105.71310000
2025-01-02 18:55:00,2.40510000,2.40860000,2.40260000,2.40720000,239731.00000000,576672.45340000,2128,141254.00000000,339788.88040000
2025-01-02 19:00:00,2.40710000,2.40710000,2.39720000,2.40260000,1023246.00000000,2458915.63600000,3457,257942.00000000,619604.55370000
2025-01-02 19:05:00,2.40260000,2.40500000,2.39910000,2.40280000,325739.00000000,782519.73370000,2247,117609.00000000,282523.30340000
2025-01-02 19:10:00,2.40280000,2.40710000,2.40270000,2.40390000,331482.00000000,797124.04650000,2224,158952.00000000,382217.29140000
2025-01-02 19:15:00,2.40380000,2.41080000,2.40380000,2.41080000,355308.00000000,855320.39250000,2493,215078.00000000,517800.10050000
2025-01-02 19:20:00,2.41080000,2.41500000,2.40930000,2.41010000,1265970.00000000,3054028.83640000,3427,892232.00000000,2152467.69110000
2025-01-02 19:25:00,2.41010000,2.41200000,2.40500000,2.40570000,400449.00000000,964295.24600000,2341,255864.00000000,616145.75500000
2025-01-02 19:30:00,2.40560000,2.40560000,2.39710000,2.39810000,438254.00000000,1052130.62440000,3088,128559.00000000,308641.05980000
2025-01-02 19:35:00,2.39820000,2.39950000,2.39340000,2.39550000,624181.00000000,1495376.40580000,4017,221251.00000000,529946.18560000
